Run Fondo;Nemotecnico Instrumento;Rut Emisor;Digito Verificador Emisor;Código País Emisor;Tipo de instrumento;Fecha de Vencimiento;Situación Instrumento;Clasificación de Riesgos;Código Grupo Empresa;Cantidad Unidades;Tipo de Unidades;TIR;Valor Par;Valor Relevante;Código Valorización;Base Tasa;Tipo de Interés;Valorización Cierre;Código Moneda Liquidación;Código país transacción;Porcentaje capital Emisor;Porcentaje Activo Emisor;Porcentaje Activo Fondo;Nombre Fondo Mutuo;fecha
"9084";BESTS20317;"97030000";"7";CL;BB;2023-01-03;1;AAA;21;37500;UF;7.3;;;1;365;RC;"1334192";$$;CL;0.000;0.005;0.582;RENTA LOCAL UF;2023-01-31
"9084";BESTS50317;"97030000";"7";CL;BB;2026-01-03;1;AAA;21;40000;UF;3.15;;;1;365;RC;"1422951";$$;CL;0.000;0.005;0.621;RENTA LOCAL UF;2023-01-31
"9084";BESTS80517;"97030000";"7";CL;BB;2024-01-05;1;AAA;21;12500;UF;4.61;;;1;365;RC;"435365";$$;CL;0.000;0.001;0.190;RENTA LOCAL UF;2023-01-31
"9084";BESTT40617;"97030000";"7";CL;BB;2025-01-06;1;AAA;21;25000;UF;3.59;;;1;365;RC;"872998";$$;CL;0.000;0.004;0.381;RENTA LOCAL UF;2023-01-31
"9084";BESTX80418;"97030000";"7";CL;BB;2029-01-04;1;AAA;21;12000;UF;2.78;;;1;365;RC;"432857";$$;CL;0.000;0.002;0.189;RENTA LOCAL UF;2023-01-31
"9084";BESVA-H;"76000739";"0";CL;BE;2027-03-02;1;AA;75;37000;UF;5.33;;;1;365;RC;"301674";$$;CL;0.000;0.026;0.132;RENTA LOCAL UF;2023-01-31
"9084";BESVA-M;"76000739";"0";CL;BE;2032-03-01;1;AA;75;30000;UF;4.5;;;1;365;RC;"682894";$$;CL;0.000;0.030;0.298;RENTA LOCAL UF;2023-01-31
"9084";BEURO-L;"96861280";"8";CL;BE;2026-03-05;1;A;0;24000;UF;6.5;;;1;365;RC;"801009";$$;CL;0.000;0.427;0.350;RENTA LOCAL UF;2023-01-31
"9084";BFAL-B0510;"96509660";"4";CL;BB;2036-03-05;1;AA;73;5000;UF;3.05;;;1;365;RC;"161343";$$;CL;0.000;0.026;0.070;RENTA LOCAL UF;2023-01-31
"9084";BFALA-AD;"90749000";"9";CL;BE;2031-01-08;1;AA;73;34000;UF;3.12;;;1;365;RC;"1216251";$$;CL;0.000;0.005;0.531;RENTA LOCAL UF;2023-01-31
"9084";BFALA-AE;"90749000";"9";CL;BE;2029-01-04;1;AA;73;30000;UF;3.17;;;1;365;RC;"1077461";$$;CL;0.000;0.005;0.470;RENTA LOCAL UF;2023-01-31
"9084";BFALA-J;"90749000";"9";CL;BE;2033-01-04;1;AA;73;20500;UF;3.2;;;1;365;RC;"765298";$$;CL;0.000;0.002;0.334;RENTA LOCAL UF;2023-01-31
"9084";BFALA-Z;"90749000";"9";CL;BE;2028-03-04;1;AA;73;30500;UF;4.19;;;1;365;RC;"1015636";$$;CL;0.000;0.004;0.443;RENTA LOCAL UF;2023-01-31
"9084";BFARR-A;"9069";"7";CL;BE;2026-01-08;1;A;0;33000;UF;6.42;;;1;365;RC;"1060686";$$;CL;0.000;0.767;0.463;RENTA LOCAL UF;2023-01-31
"9084";BFORU-BN;"96678790";"2";CL;BE;2023-10-10;1;AA;0;1000;UF;7.14;;;1;365;RC;"34225";$$;CL;0.000;0.002;0.015;RENTA LOCAL UF;2023-01-31
"9084";BFORU-BO;"96678790";"2";CL;BE;2024-01-03;1;AA;0;49000;UF;7.24;;;1;365;RC;"1653853";$$;CL;0.000;0.098;0.722;RENTA LOCAL UF;2023-01-31
"9084";BFORU-BQ;"96678790";"2";CL;BE;2025-01-09;1;AA;0;19000;UF;5.59;;;1;365;RC;"638280";$$;CL;0.000;0.038;0.279;RENTA LOCAL UF;2023-01-31
"9084";BFORU-BU;"96678790";"2";CL;BE;2024-01-05;1;AA;0;134500;UF;7.21;;;1;365;RC;"4353997";$$;CL;0.000;0.238;1.900;RENTA LOCAL UF;2023-01-31
"9084";BFRON-G;"76073164";"1";CL;BE;2037-06-09;1;AA;53;5000;UF;3.04;;;1;365;RC;"180121";$$;CL;0.000;0.051;0.079;RENTA LOCAL UF;2023-01-31
"9084";BHER-Q0818;"70016330";K;CL;BE;2025-08-08;1;A;0;8500;UF;6.29;;;1;365;RC;"147383";$$;CL;0.000;0.028;0.064;RENTA LOCAL UF;2023-01-31
"9084";BHER-T0519;"70016330";K;CL;BE;2026-08-05;1;A;0;880000000;$$;10.3;;;1;365;RC;"520942";$$;CL;0.000;0.097;0.227;RENTA LOCAL UF;2023-01-31
"9084";BITA-U1212;"97023000";"9";CL;BB;2024-01-12;1;AA;76;1000;UF;4.25;;;1;365;RC;"35198";$$;CL;0.000;0.000;0.015;RENTA LOCAL UF;2023-01-31
"9084";BITAAB1013;"97023000";"9";CL;BB;2029-01-10;1;AA;76;2000;UF;2.85;;;1;365;RC;"75453";$$;CL;0.000;0.000;0.033;RENTA LOCAL UF;2023-01-31
"9084";BITAAJ0615;"97023000";"9";CL;BB;2025-01-06;1;AA;76;40000;UF;3.84;;;1;365;RC;"1412588";$$;CL;0.000;0.002;0.616;RENTA LOCAL UF;2023-01-31
"9084";BJUMB-B1;"93834000";"5";CL;BE;2026-01-09;1;AA;199;2000;UF;4.13;;;1;365;RC;"29855";$$;CL;0.000;0.000;0.013;RENTA LOCAL UF;2023-01-31
"9084";BJUMB-B2;"93834000";"5";CL;BE;2026-01-09;1;AA;199;100000;UF;4.13;;;1;365;RC;"1492756";$$;CL;0.000;0.010;0.651;RENTA LOCAL UF;2023-01-31
"9084";BLQIF-D;"96929880";"5";CL;BE;2034-03-05;1;AA;3;15000;UF;3.5;;;1;365;RC;"497287";$$;CL;0.000;0.001;0.217;RENTA LOCAL UF;2023-01-31
"9084";BNAVI-B;"95134000";"6";CL;BE;2031-04-01;1;A;17;33500;UF;4.22;;;1;365;RC;"1133292";$$;CL;0.000;0.129;0.494;RENTA LOCAL UF;2023-01-31
"9084";BNAVI-E;"95134000";"6";CL;BE;2029-03-06;1;A;17;35000;UF;4.34;;;1;365;RC;"1162595";$$;CL;0.000;0.129;0.506;RENTA LOCAL UF;2023-01-31
"9084";BNPDBC310523;"97029000";"1";CL;PDBC;2025-07-05;1;NA;0;1500000000;$$;0.92;;;1;30;NL;"1447038";$$;CL;0.000;0.000;0.632;RENTA LOCAL UF;2023-01-31
"9084";BNTRA-H;"76555400";"4";CL;BE;2031-01-08;1;AA;187;7000;UF;2.98;;;1;365;RC;"285803";$$;CL;0.000;0.010;0.125;RENTA LOCAL UF;2023-01-31
"9084";BPARC-X;"94627000";"8";CL;BE;2026-08-02;1;AA;156;62000;UF;4.56;;;1;365;RC;"2040252";$$;CL;0.000;0.069;0.890;RENTA LOCAL UF;2023-01-31
"9084";BPATI-E;"76362959";"7";CL;BE;2026-03-04;1;A;0;77500;UF;7.99;;;1;365;RC;"2509418";$$;CL;0.000;0.000;1.095;RENTA LOCAL UF;2023-01-31
"9084";BPATI-G;"76362959";"7";CL;BE;2034-03-12;1;A;0;3500;UF;6.95;;;1;365;RC;"100190";$$;CL;0.000;0.000;0.044;RENTA LOCAL UF;2023-01-31
"9084";BPLZA-E;"76017019";"4";CL;BE;2033-01-10;1;AA;73;18000;UF;2.89;;;1;365;RC;"685353";$$;CL;0.000;0.018;0.299;RENTA LOCAL UF;2023-01-31
"9084";BQUIN-C;"91705000";"7";CL;BE;2032-01-12;1;AA;3;20000;UF;3.12;;;1;365;RC;"750220";$$;CL;0.000;0.001;0.327;RENTA LOCAL UF;2023-01-31
"9084";BRPL-X0220;"97947000";"2";CL;BB;2025-03-02;1;A;33;25000;UF;6.1;;;1;365;RC;"835886";$$;CL;0.000;0.303;0.365;RENTA LOCAL UF;2023-01-31
"9084";BRPLC-K;"99579730";"5";CL;BE;2026-03-06;1;A;33;58000;UF;6.46;;;1;365;RC;"1917927";$$;CL;0.000;0.050;0.837;RENTA LOCAL UF;2023-01-31
"9084";BRPLY-E;"99530250";"0";CL;BE;2030-10-06;1;A;33;3000;UF;4.56;;;1;365;RC;"73734";$$;CL;0.000;0.003;0.032;RENTA LOCAL UF;2023-01-31
"9084";BSAAM-H;"76196718";"5";CL;BE;2030-10-07;1;AA;3;6000;UF;3.12;;;1;365;RC;"186748";$$;CL;0.000;0.012;0.082;RENTA LOCAL UF;2023-01-31
"9084";BSAES-L;"76073162";"5";CL;BE;2033-01-11;1;AA;53;4000;UF;3.04;;;1;365;RC;"147308";$$;CL;0.000;0.023;0.064;RENTA LOCAL UF;2023-01-31
"9084";BSALF-P;"96885880";"7";CL;BE;2025-05-04;1;BBB;0;37500;UF;8.24;;;1;365;RC;"1052265";$$;CL;0.000;0.093;0.459;RENTA LOCAL UF;2023-01-31
"9084";BSALF-S;"96885880";"7";CL;BE;2029-05-10;1;BBB;0;40000;UF;6.74;;;1;365;RC;"1206680";$$;CL;0.000;0.080;0.527;RENTA LOCAL UF;2023-01-31
"9084";BSALF-T;"96885880";"7";CL;BE;2031-03-04;1;BBB;0;14000;UF;6.78;;;1;365;RC;"352221";$$;CL;0.000;0.020;0.154;RENTA LOCAL UF;2023-01-31
"9084";BSECD50421;"97053000";"2";CL;BB;2028-01-04;1;AA;35;37500;UF;2.94;;;1;365;RC;"1206697";$$;CL;0.000;0.041;0.527;RENTA LOCAL UF;2023-01-31
"9084";BSECH11206;"97053000";"2";CL;BB;2029-01-12;1;AA;35;5000;UF;3.25;;;1;365;RC;"102999";$$;CL;0.000;0.003;0.045;RENTA LOCAL UF;2023-01-31
"9084";BSECK50614;"97053000";"2";CL;BB;2024-01-06;1;AA;35;500;UF;4.75;;;1;365;RC;"17285";$$;CL;0.000;0.001;0.008;RENTA LOCAL UF;2023-01-31
"9084";BSECK60315;"97053000";"2";CL;BB;2025-01-03;1;AA;35;24000;UF;4.05;;;1;365;RC;"835440";$$;CL;0.000;0.001;0.360;RENTA LOCAL UF;2023-01-31
"9084";BSECK70915;"97053000";"2";CL;BB;2025-01-09;1;AA;35;2000;UF;3.78;;;1;365;RC;"69661";$$;CL;0.000;0.002;0.030;RENTA LOCAL UF;2023-01-31
"9084";BSECK81016;"97053000";"2";CL;BB;2026-01-10;1;AA;35;30000;UF;3.23;;;1;365;RC;"1053608";$$;CL;0.000;0.035;0.460;RENTA LOCAL UF;2023-01-31
"9084";BSECZ41018;"97053000";"2";CL;BB;2024-01-04;1;AA;35;130000000;$$;8.89;;;1;365;RC;"126550";$$;CL;0.000;0.004;0.055;RENTA LOCAL UF;2023-01-31
"9084";BSECZ80621;"97053000";"2";CL;BB;2027-01-06;1;AA;35;3000000000;$$;6.41;;;1;365;RC;"2678735";$$;CL;0.000;0.090;1.169;RENTA LOCAL UF;2023-01-31
"9084";BSKSA-E;"99598300";"1";CL;BE;2034-03-03;1;AA;19;9000;UF;3.68;;;1;365;RC;"311940";$$;CL;0.000;0.003;0.135;RENTA LOCAL UF;2023-01-31
"9084";BSOND-C;"83628100";"4";CL;BE;2030-01-12;1;AA;138;25000;UF;3.78;;;1;365;RC;"662861";$$;CL;0.000;0.054;0.290;RENTA LOCAL UF;2023-01-31
"9084";BSOND-H;"83628100";"4";CL;BE;2029-01-07;1;AA;138;7500;UF;3.52;;;1;365;RC;"234880";$$;CL;0.000;0.020;0.103;RENTA LOCAL UF;2023-01-31
"9084";BSOND-J;"83628100";"4";CL;BE;2024-01-10;1;AA;138;43500;UF;5.37;;;1;365;RC;"1418371";$$;CL;0.000;0.111;0.620;RENTA LOCAL UF;2023-01-31
"9084";BSOQU-H;"93007000";"9";CL;BE;2030-05-01;1;AA;24;18000;UF;3.48;;;1;365;RC;"424467";$$;CL;0.000;0.005;0.185;RENTA LOCAL UF;2023-01-31
"9084";BSTD090216;"97036000";K;CL;BB;2024-01-02;1;AAA;14;3000;UF;5.03;;;1;365;RC;"104809";$$;CL;0.000;0.000;0.046;RENTA LOCAL UF;2023-01-31
"9084";BSTD180622;"97036000";K;CL;BB;2027-01-12;1;AAA;14;1000000000;$$;6.32;;;1;365;RC;"1064968";$$;CL;0.000;0.001;0.465;RENTA LOCAL UF;2023-01-31
"9084";BSTDA30922;"97036000";K;CL;BB;2030-01-09;1;AAA;14;300000000;$$;6.07;;;1;365;RC;"311593";$$;CL;0.000;0.000;0.136;RENTA LOCAL UF;2023-01-31
