"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-01-31;"1M";"0.15%"
"8263";APV;2023-01-31;"3M";"1.97%"
"8263";APV;2023-01-31;"6M";-2.66%
"8263";APV;2023-01-31;"1Y";-0.58%
"8263";APV;2023-01-31;YTD;"0.16%"
"8263";APV;2023-02-01;"1M";"0.14%"
"8263";APV;2023-02-01;"3M";"1.96%"
"8263";APV;2023-02-01;"6M";-2.65%
"8263";APV;2023-02-01;"1Y";-0.72%
"8263";APV;2023-02-01;YTD;"0.16%"
"8263";APV;2023-02-02;"1M";"0.25%"
"8263";APV;2023-02-02;"3M";"2.02%"
"8263";APV;2023-02-02;"6M";-2.66%
"8263";APV;2023-02-02;"1Y";-0.60%
"8263";APV;2023-02-02;YTD;"0.27%"
"8263";APV;2023-02-03;"1M";"0.33%"
"8263";APV;2023-02-03;"3M";"1.86%"
"8263";APV;2023-02-03;"6M";-2.57%
"8263";APV;2023-02-03;"1Y";-0.61%
"8263";APV;2023-02-03;YTD;"0.22%"
"8263";APV;2023-02-04;"1M";"0.21%"
"8263";APV;2023-02-04;"3M";"1.75%"
"8263";APV;2023-02-04;"6M";-2.52%
"8263";APV;2023-02-04;"1Y";-0.64%
"8263";APV;2023-02-04;YTD;"0.23%"
"8263";APV;2023-02-05;"1M";"0.24%"
"8263";APV;2023-02-05;"3M";"1.75%"
"8263";APV;2023-02-05;"6M";-2.28%
"8263";APV;2023-02-05;"1Y";-0.64%
"8263";APV;2023-02-05;YTD;"0.24%"
"8263";APV;2023-02-06;"1M";"0.11%"
"8263";APV;2023-02-06;"3M";"1.53%"
"8263";APV;2023-02-06;"6M";-2.49%
"8263";APV;2023-02-06;"1Y";-0.85%
"8263";APV;2023-02-06;YTD;"0.03%"
"8263";APV;2023-02-07;"1M";"0.04%"
"8263";APV;2023-02-07;"3M";"1.32%"
"8263";APV;2023-02-07;"6M";-2.55%
"8263";APV;2023-02-07;"1Y";-0.86%
"8263";APV;2023-02-07;YTD;-0.04%
"8263";APV;2023-02-08;"1M";"0.15%"
"8263";APV;2023-02-08;"3M";"1.28%"
"8263";APV;2023-02-08;"6M";-2.52%
"8263";APV;2023-02-08;"1Y";-1.11%
"8263";APV;2023-02-08;YTD;"0.07%"
"8263";APV;2023-02-09;"1M";"0.05%"
"8263";APV;2023-02-09;"3M";"0.75%"
"8263";APV;2023-02-09;"6M";-2.48%
"8263";APV;2023-02-09;"1Y";-1.07%
"8263";APV;2023-02-09;YTD;"0.01%"
"8263";APV;2023-02-10;"1M";-0.08%
"8263";APV;2023-02-10;"3M";"0.37%"
"8263";APV;2023-02-10;"6M";-2.58%
"8263";APV;2023-02-10;"1Y";-1.09%
"8263";APV;2023-02-10;YTD;-0.06%
"8263";APV;2023-02-11;"1M";-0.28%
"8263";APV;2023-02-11;"3M";"0.25%"
"8263";APV;2023-02-11;"6M";-2.40%
"8263";APV;2023-02-11;"1Y";-0.86%
"8263";APV;2023-02-11;YTD;-0.05%
"8263";APV;2023-02-12;"1M";-0.46%
"8263";APV;2023-02-12;"3M";"0.25%"
"8263";APV;2023-02-12;"6M";-2.29%
"8263";APV;2023-02-12;"1Y";-0.86%
"8263";APV;2023-02-12;YTD;-0.04%
"8263";APV;2023-02-13;"1M";-0.43%
"8263";APV;2023-02-13;"3M";"0.23%"
"8263";APV;2023-02-13;"6M";-2.30%
"8263";APV;2023-02-13;"1Y";-0.88%
"8263";APV;2023-02-13;YTD;-0.05%
"8263";APV;2023-02-14;"1M";-0.52%
"8263";APV;2023-02-14;"3M";"0.08%"
"8263";APV;2023-02-14;"6M";-2.38%
"8263";APV;2023-02-14;"1Y";-1.11%
