Run fondo;serie;caracteristica;fecha_inicio;fecha_termino;valor_cuota_inicial;continuadora_serie
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8064;UNICA;;1993-06-22;2003-01-07;1000;
8064;DELTA;;2003-01-08;2011-12-23;2702.8787;
8064;GAMMA;;2003-01-08;2011-12-23;2702.8787;
8064;ALFA;;2003-01-08;2012-01-03;2703.0441;UNICA
8064;BETA;APV;2003-01-08;2012-01-03;2702.8787;UNICA
8064;A;;2017-12-27;;5100;
8064;ALPAT;;2012-01-04;;1000;
8064;APV;APV;2012-01-04;;4420.0226;BETA
8064;BCI;;2015-06-09;;1000;
8064;BPRIV;;2012-01-04;;1000;
8064;CLASI;;2012-01-04;;3992.168;ALFA
8064;FAMIL;;2012-01-04;;1000;
8077;UNICA;;1995-03-01;2007-06-30;1000;
8077;NORMA;;2007-07-01;2008-04-19;2523.4827;UNICA
8077;AM;;2018-09-11;;1000;
8077;APV;APV;2007-07-01;;2523.4827;UNICA
8077;CORPO;;2019-11-21;;1000;
8077;EJECU;;2008-04-20;;2703.1714;NORMA
8077;G;;2016-11-28;;1000;
8077;I;;2015-08-26;;1000;
8077;II;;2016-03-07;;1000;
8077;III;;2016-03-23;;1000;
8077;INVER;;2008-04-20;;2703.1714;NORMA
8077;UNIVE;;2008-04-20;;2703.1714;NORMA
8106;UNICA;;1997-03-11;2008-02-04;1000;
8106;A;;2008-02-05;2011-08-04;1000;UNICA
8106;E;;2008-02-05;2021-08-14;1000;
8106;GLOBA;;2008-08-05;2021-08-14;1000;
8106;INVER;;2008-02-05;2021-08-14;1000;
8106;PATRI;;2008-02-05;2021-08-14;1000;
8106;V;;2011-08-05;2021-08-14;2008.435;A
8106;ALTOPATRIM;;2021-08-20;;1000;
8106;APV;APV;2008-02-05;;1000;
8106;CLASICA;;2021-08-15;;1000;V
8106;FAMILIACLA;;2021-08-15;;1000;INVER
8106;SBK;;2023-04-25;;1000;
8106;WEALTH;;2022-02-01;;1000;
8106;WEB;;2021-08-16;;1000;
8118;UNICA;;1998-03-10;2005-02-21;1000;
8118;APV;;;2015-10-02;1000;
8118;I;APV;2005-02-22;2015-10-02;1750;
8118;A;;2005-02-22;;1726.8824;UNICA
8118;APV1;APV;2015-10-03;;1000;APV
8118;B;;2005-02-22;;1750;
8118;G;;2015-10-20;;1000;
8118;H;;2015-10-03;;1000;A-I-R
8118;I-APV;APV;2015-10-03;;1000;I
8118;J;;2017-10-17;;1000;
8118;S;;2018-03-05;;1000;
8118;V;;2015-10-03;;1000;M
8141;UNICA;;1999-11-22;2002-07-31;1000;
8141;A;;2002-08-01;2017-11-09;1240.7062;UNICA
8141;B;APV;2002-08-01;2017-11-09;1240.7062;
8141;C;;2007-12-11;2017-11-09;1000;
8141;F;;2006-01-12;2017-11-09;1000;
8141;I;;2007-12-11;2017-11-09;1000;
